nom;latitude;longitude;taille;nationalite;type;profondeur
ALBERTO DI GIUSSANO;37.0833333333333;11.0833333333333;169.2 x 15.5 x 5.2 m;Italien;Croiseur;75m
EMILIO MORANDI;35.9833333333333;11.3666666666667;73.6 X 11 X 4;Italien;Navire marchand;95m
ADRIA ;37.1666666666667;11.1833333333333;91.5 X 10.09 X 7.83;Italien;Cargo à vapeur;170m
SCILLIN;35.95;11.05;75.59 X 11.19 X 6.58;Italien;Cargo;50m
SEA WARRIOR;36.6758333333333;11.0819444444444;57.3 X 10.1 X 4;Maltais;Cargo;95m
CAPO VITA;36.15;11.1166666666667;125.5 X 16.2 X 9.8;Italien;Bateau à vapeur;64m
CLAN KEITH;35.5;9.03333333333333;195 X 17.4 X 106;Britannique;Cargo à vapeur;65m
CANDIEIRA;39.9911111111111;10.2833333333333;56.21 X 10.85 X 3.35;Espagnol;Cargo;70m
TEMBIEN;38.4544444444444;12.6355555555556;54.8 X 6.5 X 4.7;Italien;Sous-marin;1000 m
ZEFFIRO;37.1691666666667;11.05;125.9 X 15.8 X 8.5;Italien;Cargo;80 m
SATURNO;37.2666666666667;10.45;117.4 X 15.3 X 9.2;Italien;Cargo;140 m
PERSEO;36.3;11.3333333333333;83.6 X 8.1 X 2.5;Italien;Torpilleur;90 m
MAGELLAN;38.1;9.13333333333333;109.9 X 13.2 X 8.3;Britannique;Cargo à vapeur;1400 m
DANIEL CHESTER FRENCH;37.2833333333333;10.3666666666667;134.6 X 17.3 X 8.43;Américain;Cargo;70m
VALFELICITA;36.8833333333333;10.6;67.1 X 10.1 X 3.7;Italien;Cargo;10 m
ALAGIR;37.4666666666667;10.4166666666667;105.2 X 14.9 X 6.1;Russe;Navire de transport;125m
REICHENFELS;34.7166666666667;11.95;155 X 18.9 X 9.5;Allemand;Navire;38m
SULLBERG SS;36.2333333333333;10.9333333333333;79.4 X 11.3 X 5.9;Italien;Bateau de transport;63m
AUDACE;36.3166666666667;10.6666666666667;73.3 X 11;Allemand;Cargo à vapeur;80m
SS INGO;34.45;11.8;116.5 X 15.3 X 6.7;Allemand;Navire de transport;52 m
EUGENIA;37.2;10.3333333333333;110.6 X 14;Greque;Cargo-vraquier;50m
ROMFORD;36.9;10.4;99.1 X 14.6 X 6.7;Britannique;Bateau à vapeur;25m
ZENOBIA MARTINI;33.9333333333333;11.1;70.3 X 11.1 ;Italien;Navire de transport;25 m
ANTIONETTA LAURO;34.95;11.7333333333333;132.74 X 16.82 X 8.08;Italien;Navire de transport;30 m
ERNEST SIMONS;37.1666666666667;8.46666666666667;135 X 14.4 X 11.2;Français;Navire de transport;200 m
TITANIA;34.5;12.8833333333333;126.2 X 15.8 X 8.5;Italien;Navire marchand;65m
GANGE;37.4;9.83333333333333;141.35 X 16 X 9.9;Français;Navire de transport;60m
U64;38.1166666666667;10.45;68.4 X 6.3 X 4;Allemand;Sous-marin;550m
LUPO;34.4666666666667;11.4666666666667;81.4 X 7.9 X 2.3;Italien;Torpilleur;50m
MATIANA;37.25;10.0833333333333;inconnue;Anglaise;Bateau de tranpsort de passager;30m
HMS HAVOCK;36.9308333333333;11.1808333333333;inconnue;Britannique;Destroyer;4m
Chalutier;34;11.0666666666667;inconnue;inconnue;Chalutier;40m
